iter	Passed	Remaining
408	4607	12291
409	4619	12280
410	4629	12267
411	4640	12255
412	4652	12244
413	4663	12232
414	4673	12219
415	4684	12207
416	4695	12195
417	4706	12182
418	4717	12170
419	4728	12159
420	4739	12147
421	4750	12135
422	4761	12124
423	4772	12110
424	4782	12097
425	4793	12085
426	4804	12074
427	4816	12063
428	4827	12051
429	4838	12038
430	4848	12026
431	4859	12014
432	4870	12002
433	4881	11989
434	4892	11977
435	4903	11965
436	4914	11953
437	4924	11941
438	4935	11927
439	4946	11915
440	4956	11902
441	4966	11888
442	4978	11877
443	4988	11865
444	4999	11852
445	5010	11840
446	5021	11828
447	5031	11816
448	5043	11806
449	5054	11794
450	5065	11782
451	5076	11770
452	5087	11757
453	5098	11745
454	5108	11733
455	5119	11720
456	5130	11709
457	5141	11696
458	5151	11683
459	5162	11671
460	5173	11659
461	5185	11649
462	5196	11639
463	5208	11628
464	5219	11616
465	5229	11604
466	5240	11591
467	5251	11580
468	5262	11569
469	5273	11557
470	5284	11545
471	5295	11533
472	5306	11521
473	5317	11510
474	5328	11497
475	5338	11484
476	5349	11472
477	5360	11461
478	5371	11448
479	5381	11436
480	5393	11425
481	5403	11412
482	5413	11397
483	5424	11386
484	5435	11375
485	5446	11364
486	5457	11352
487	5469	11341
488	5479	11329
489	5490	11317
490	5501	11305
491	5511	11292
492	5522	11279
493	5532	11267
494	5542	11253
495	5553	11242
496	5564	11230
497	5576	11219
498	5587	11208
499	5597	11195
500	5608	11183
501	5618	11170
502	5629	11158
503	5640	11146
504	5651	11135
505	5662	11124
506	5674	11113
507	5685	11101
508	5696	11090
509	5706	11077
510	5717	11066
511	5728	11054
512	5739	11042
513	5750	11031
514	5761	11019
515	5772	11007
516	5782	10995
517	5793	10982
518	5804	10971
519	5814	10958
520	5825	10947
521	5836	10934
522	5846	10922
523	5857	10910
524	5869	10899
525	5880	10888
526	5890	10876
527	5901	10864
528	5912	10853
529	5923	10841
530	5935	10830
531	5945	10817
532	5955	10804
533	5965	10791
534	5976	10780
535	5988	10769
536	5999	10758
537	6010	10747
538	6021	10736
539	6032	10724
540	6043	10712
541	6053	10699
542	6063	10687
543	6075	10676
544	6086	10665
545	6097	10653
546	6108	10642
547	6119	10631
