iter	RMSE
0	138.433422
1	135.4467135
2	132.6665662
3	129.8731999
4	127.1453033
5	124.3279509
6	121.6186804
7	118.8727026
8	116.4765104
9	113.8932743
10	111.5960871
11	109.1665101
12	106.8910988
13	104.6660355
14	102.622543
15	100.4539654
16	98.65535202
17	96.65039569
18	94.7122031
19	92.81249982
20	90.89408671
21	89.12969223
22	87.40970351
23	85.62020121
24	83.84762014
25	82.2413904
26	80.7363201
27	79.18819397
28	77.66432272
29	76.12735052
30	74.6463571
31	73.07286463
32	71.6631449
33	70.26544128
34	68.96038599
35	67.61760359
36	66.36155397
37	65.13147398
38	63.79138484
39	62.66756657
40	61.46492592
41	60.41697504
42	59.32616063
43	58.17947202
44	57.17953334
45	56.17570267
46	55.1482486
47	54.0955693
48	53.16102123
49	52.13807121
50	51.21703541
51	50.38925583
52	49.51237926
53	48.61974014
54	47.74337447
55	46.96546
56	46.17421487
57	45.37175523
58	44.69019804
59	43.90800101
60	43.14813127
61	42.45877094
62	41.75924261
63	41.02400886
64	40.35396359
65	39.6766275
66	39.03552699
67	38.39489816
68	37.8537833
69	37.20595419
70	36.61121004
71	36.01607606
72	35.44367279
73	34.91663227
74	34.41996133
75	33.88774835
76	33.33605628
77	32.86156759
78	32.43179671
79	31.95861735
80	31.53779877
81	31.14033393
82	30.73966837
83	30.3305304
84	29.95425925
85	29.57461719
86	29.21800041
87	28.8222274
88	28.44886426
89	28.13509992
90	27.76390731
91	27.42056938
92	27.05090767
93	26.72436437
94	26.373581
95	26.0167046
96	25.69201154
97	25.40444924
98	25.11213665
99	24.76558203
100	24.52312795
101	24.26472616
102	23.99251378
103	23.72066277
104	23.46506433
105	23.23355284
106	22.9868355
107	22.76477281
108	22.51176982
109	22.29313971
110	22.04467302
111	21.83857311
112	21.65652089
113	21.4414031
114	21.25059188
115	21.01098378
116	20.80107041
117	20.60326649
118	20.44583662
119	20.2778735
120	20.13286385
121	19.99294962
122	19.8021976
123	19.59220058
124	19.44405267
125	19.30755183
126	19.17721914
127	19.00871633
128	18.85845895
129	18.71351389
130	18.57165462
131	18.42323456
132	18.33427856
133	18.19273299
134	18.04089405
135	17.94791465
136	17.82768174
137	17.68905336
138	17.55526664
139	17.43845788
140	17.32115962
141	17.23568374
142	17.15073883
143	17.03378282
144	16.92002907
145	16.84721918
146	16.76779223
147	16.65576581
148	16.55964045
149	16.45517217
150	16.38328989
151	16.29562689
152	16.21071216
153	16.08491056
154	15.98768513
155	15.86199833
156	15.76768233
157	15.68068621
158	15.60232725
159	15.53470807
160	15.45672151
161	15.38139694
162	15.28861913
163	15.2177217
164	15.16363879
165	15.07601873
166	15.00901632
167	14.97504208
168	14.89528746
169	14.80905941
170	14.71249626
171	14.65464898
172	14.60186052
173	14.53800215
174	14.48856411
175	14.4474286
176	14.39089087
177	14.32230978
178	14.29038641
179	14.25902957
180	14.19790891
181	14.13965604
182	14.0660787
183	14.02914209
184	13.98097116
185	13.89942468
186	13.85443485
187	13.78647967
188	13.7300899
189	13.66560279
190	13.6079309
191	13.5549036
192	13.50053186
193	13.43477728
194	13.39540829
195	13.35383267
196	13.30112661
197	13.26624215
198	13.2388323
199	13.20927486
200	13.16700754
201	13.12077223
202	13.07709498
203	13.03989534
204	12.98526931
205	12.93702322
206	12.90450105
207	12.87665305
208	12.81649058
209	12.79294623
210	12.76624721
211	12.70959646
212	12.67197844
213	12.6460348
214	12.6320495
215	12.60684399
216	12.56231003
217	12.53136044
218	12.50705198
219	12.47490499
220	12.43653283
221	12.41044732
222	12.36698225
223	12.34054676
224	12.31069402
225	12.28356878
226	12.23696461
227	12.20602474
228	12.15894973
229	12.13024391
230	12.09946241
231	12.08415266
232	12.03937858
233	11.99253671
234	11.94907089
235	11.90639592
236	11.87676858
237	11.82694886
238	11.79088013
239	11.75837031
240	11.7339513
241	11.71208132
242	11.6681798
243	11.627541
244	11.58262419
245	11.55252356
246	11.53417778
247	11.506845
248	11.47603144
249	11.45846742
250	11.43741159
251	11.40023282
252	11.35417236
253	11.33970526
254	11.3206689
255	11.28917478
256	11.26493379
257	11.21651194
258	11.20178298
259	11.15071667
260	11.13350103
261	11.11648579
262	11.07717539
263	11.03565176
264	10.99820035
265	10.98187581
266	10.96392221
267	10.9188998
268	10.87343064
269	10.86149106
270	10.83187403
271	10.81017302
272	10.76026383
273	10.72375085
274	10.70444097
275	10.65627082
276	10.60953489
277	10.59379758
278	10.58298869
279	10.56383319
280	10.53144136
281	10.51706947
282	10.49939409
283	10.46741515
284	10.45113594
285	10.40839086
286	10.39630125
287	10.36767528
288	10.35011207
289	10.33639767
290	10.31347333
291	10.29485387
292	10.26766225
293	10.25353128
294	10.23939207
295	10.22722612
296	10.21111645
297	10.20283871
298	10.16758861
299	10.15549384
300	10.14166182
301	10.10637651
302	10.06620737
303	10.0528917
304	10.03370406
305	10.01716539
306	9.985562598
307	9.974482124
308	9.9557982
309	9.94580685
310	9.917790347
311	9.905555871
312	9.89710692
313	9.889236862
314	9.878418985
315	9.859175568
316	9.824247847
317	9.793513651
318	9.78819697
319	9.776525227
320	9.768981338
321	9.724735436
322	9.716041938
323	9.7052184
324	9.662553567
325	9.650952439
326	9.630740871
327	9.596277987
328	9.564461156
329	9.527307119
330	9.48247807
331	9.473315384
332	9.450658961
333	9.414509841
334	9.39083358
335	9.353757494
336	9.326745951
337	9.310855255
338	9.303405144
339	9.279538787
340	9.27053661
341	9.261254555
342	9.22963137
343	9.206142864
344	9.201684054
345	9.190787266
346	9.149274999
347	9.139214816
348	9.12945577
349	9.118106265
350	9.105759886
351	9.098727316
352	9.085832658
353	9.074448762
354	9.043406541
355	9.033365675
356	9.019085589
357	9.008240888
358	9.001692806
359	8.984474333
360	8.966512528
361	8.950520473
362	8.92889208
363	8.904440592
364	8.877490998
365	8.869035381
366	8.862916752
367	8.855731436
368	8.83125847
369	8.824158098
370	8.806070324
371	8.799078836
372	8.784764454
373	8.767952997
374	8.753410646
375	8.737849036
376	8.71216858
377	8.700374303
378	8.694164448
379	8.684339461
380	8.669164497
381	8.657773717
382	8.631473142
383	8.605271139
384	8.595712932
385	8.585134031
386	8.577876596
387	8.55954481
388	8.543908102
389	8.532430878
390	8.517983439
391	8.510740897
392	8.502138263
393	8.493456461
394	8.479722587
395	8.461978142
396	8.455148338
397	8.44199281
398	8.414286444
399	8.407522758
400	8.395364551
401	8.38224968
402	8.367712736
403	8.358442115
404	8.342607268
405	8.333816812
406	8.326699245
407	8.310333565
408	8.303822822
409	8.282193298
410	8.269016651
411	8.259616218
412	8.253925383
413	8.244379586
414	8.233411661
415	8.223570587
416	8.216763445
417	8.196042938
418	8.177108463
419	8.153733976
420	8.141788993
421	8.136263725
422	8.100822626
423	8.078816111
424	8.057390217
425	8.030191065
426	8.022782776
427	8.012582337
428	7.996410597
429	7.978745441
430	7.945637237
431	7.93909012
432	7.929876616
433	7.913284298
434	7.888501956
435	7.860957143
436	7.842932668
437	7.83878356
438	7.82789546
439	7.811844617
440	7.800234524
441	7.795884359
442	7.786353072
443	7.772668854
444	7.763052949
445	7.756837944
446	7.744037197
447	7.731615385
448	7.694407483
449	7.686665668
450	7.669846225
451	7.661643752
452	7.659114743
453	7.639606499
454	7.627170829
455	7.604169231
456	7.576868879
457	7.567809309
458	7.560469287
459	7.556599343
460	7.55287171
461	7.548570916
462	7.537729214
463	7.50752224
464	7.480621149
465	7.450375544
466	7.429593251
467	7.415154462
468	7.408872694
469	7.398741419
470	7.37705705
471	7.35855063
472	7.355864217
473	7.348598885
474	7.340413257
475	7.335498753
476	7.310956288
477	7.300981395
478	7.293737782
479	7.28585737
480	7.268334609
481	7.254603916
482	7.246784719
483	7.224676926
484	7.220830401
485	7.199804445
486	7.191246719
487	7.184533885
488	7.177916222
489	7.172302202
490	7.150995259
491	7.143679052
492	7.118644063
493	7.112047511
494	7.104551215
495	7.084345621
496	7.080310043
497	7.07690478
498	7.073496472
499	7.070412816
500	7.057186569
501	7.046873122
502	7.032078755
503	7.027315664
504	7.006241917
505	6.999360545
506	6.99693689
507	6.983811753
508	6.982083714
509	6.978274979
510	6.962421835
511	6.946346399
512	6.937363492
513	6.932001598
514	6.913435563
515	6.906764489
516	6.904704256
517	6.901371361
518	6.88939304
519	6.885057242
520	6.869631508
521	6.845128282
522	6.841805719
523	6.837380181
524	6.822028566
525	6.801788925
526	6.797575362
527	6.792697282
528	6.771575834
529	6.768658815
530	6.766704807
531	6.757480738
532	6.751031953
533	6.739617958
534	6.736595307
535	6.732473481
536	6.71674347
537	6.708901107
538	6.694454822
539	6.691581235
540	6.683007527
541	6.667333912
542	6.663355663
543	6.638339846
544	6.631099727
545	6.620191016
546	6.605743933
547	6.595058162
548	6.564279308
549	6.561962733
550	6.544859156
551	6.539642461
552	6.53180361
553	6.515323736
554	6.510083981
555	6.494404185
556	6.480567483
557	6.474426132
558	6.471689482
559	6.464442043
560	6.446799822
561	6.442958941
562	6.437478313
563	6.421920038
564	6.410994733
565	6.407592903
566	6.400925982
567	6.375640707
568	6.373018415
569	6.356714479
570	6.354599656
571	6.347267756
572	6.336155305
573	6.327397068
574	6.321628483
575	6.309697461
576	6.288588041
577	6.261571528
578	6.236753681
579	6.223941807
580	6.219241614
581	6.215620892
582	6.201510519
583	6.199886784
584	6.182513278
585	6.166890445
586	6.163936625
587	6.157574975
588	6.155072118
589	6.143960997
590	6.132860416
591	6.128386524
592	6.123512724
593	6.114628668
594	6.10336022
595	6.095456024
596	6.090760416
597	6.085681758
598	6.082412257
599	6.057847452
600	6.048920196
601	6.042257386
602	6.03999185
603	6.028938412
604	6.024757738
605	6.01798597
606	6.012932159
607	6.008124701
608	5.989673256
609	5.983710127
610	5.979853341
611	5.97538057
612	5.960564207
613	5.955197359
614	5.932268076
615	5.926453413
616	5.922405278
617	5.911567764
618	5.898349524
619	5.894855828
620	5.884228107
621	5.879632291
622	5.876030842
623	5.870690933
624	5.855120334
625	5.847014157
626	5.842505722
627	5.841194388
628	5.838211303
629	5.835002683
630	5.8337356
631	5.814790793
632	5.793199414
633	5.788229371
634	5.781541406
635	5.771676651
636	5.754620555
637	5.738130079
638	5.732610948
639	5.727490489
640	5.718579312
641	5.715587062
642	5.711247722
643	5.688540917
644	5.683841654
645	5.681199715
646	5.672329952
647	5.668147433
648	5.649422843
649	5.645303787
650	5.642106759
651	5.628435084
652	5.62579831
653	5.614297625
654	5.602370869
655	5.591014331
656	5.578859095
657	5.569448637
658	5.558477268
659	5.551155071
660	5.544855797
661	5.542112868
662	5.532681475
663	5.531143008
664	5.527212876
665	5.519778586
666	5.517024634
667	5.510087365
668	5.507340698
669	5.505263151
670	5.497703137
671	5.481852092
672	5.480103289
673	5.474179465
674	5.463533806
675	5.448271977
676	5.446464388
677	5.442734101
678	5.424658154
679	5.4234629
680	5.420375692
681	5.413445087
682	5.411462583
683	5.400011925
684	5.386751049
685	5.371934502
686	5.368035228
687	5.356939932
688	5.338311915
689	5.336716907
690	5.3344011
691	5.329869452
692	5.327314389
693	5.319840154
694	5.316595393
695	5.313560489
696	5.301598639
697	5.297368816
698	5.285222867
699	5.279769045
700	5.266223521
701	5.263891374
702	5.260506916
703	5.258572477
704	5.250476381
705	5.247036325
706	5.241143335
707	5.239544998
708	5.232150009
709	5.225623541
710	5.22290962
711	5.215414331
712	5.205908377
713	5.195476873
714	5.187415178
715	5.17652244
716	5.173189908
717	5.163825875
718	5.155482722
719	5.148393656
720	5.142926789
721	5.138543173
722	5.127402828
723	5.121134324
724	5.114946086
